user_id,location,gender,education,invest_goal,age_group
1001,Västmanland,Female,Master's Degree,Long-term,31-40
1001,Västmanland,Female,Master's Degree,Long-term,31-40
1001,Västmanland,Female,Master's Degree,Long-term,31-40
1001,Västmanland,Female,Master's Degree,Long-term,31-40
1001,Västmanland,Female,Master's Degree,Long-term,31-40
1001,Västmanland,Female,Master's Degree,Long-term,31-40
1002,Skåne,Male,High School,Long-term,21-30
1002,Skåne,Male,High School,Long-term,21-30
1002,Skåne,Male,High School,Long-term,21-30
1002,Skåne,Male,High School,Long-term,21-30
1002,Skåne,Male,High School,Long-term,21-30
1003,Västmanland,Female,Master's Degree,Long-term,61-70
1003,Västmanland,Female,Master's Degree,Long-term,61-70
1003,Västmanland,Female,Master's Degree,Long-term,61-70
1004,Stockholm,Male,High School,Short-term,21-30
1004,Stockholm,Male,High School,Short-term,21-30
1004,Stockholm,Male,High School,Short-term,21-30
1004,Stockholm,Male,High School,Short-term,21-30
1005,Kalmar,Male,Bachelor's Degree,Short-term,21-30
1005,Kalmar,Male,Bachelor's Degree,Short-term,21-30
1005,Kalmar,Male,Bachelor's Degree,Short-term,21-30
1005,Kalmar,Male,Bachelor's Degree,Short-term,21-30
1006,Stockholm,Female,High School,Short-term,31-40
1006,Stockholm,Female,High School,Short-term,31-40
1006,Stockholm,Female,High School,Short-term,31-40
1006,Stockholm,Female,High School,Short-term,31-40
1007,Stockholm,Male,High School,Short-term,41-50
1007,Stockholm,Male,High School,Short-term,41-50
1007,Stockholm,Male,High School,Short-term,41-50
1007,Stockholm,Male,High School,Short-term,41-50
1008,Stockholm,Male,High School,Short-term,31-40
1008,Stockholm,Male,High School,Short-term,31-40
1008,Stockholm,Male,High School,Short-term,31-40
1008,Stockholm,Male,High School,Short-term,31-40
1008,Stockholm,Male,High School,Short-term,31-40
1008,Stockholm,Male,High School,Short-term,31-40
1008,Stockholm,Male,High School,Short-term,31-40
1008,Stockholm,Male,High School,Short-term,31-40
1009,Västra Götaland,Male,High School,Short-term,21-30
1009,Västra Götaland,Male,High School,Short-term,21-30
1009,Västra Götaland,Male,High School,Short-term,21-30
1010,Västra Götaland,Male,Middle School,Short-term,31-40
1010,Västra Götaland,Male,Middle School,Short-term,31-40
1010,Västra Götaland,Male,Middle School,Short-term,31-40
1010,Västra Götaland,Male,Middle School,Short-term,31-40
1011,Västra Götaland,Male,Middle School,Long-term,61-70
1011,Västra Götaland,Male,Middle School,Long-term,61-70
1011,Västra Götaland,Male,Middle School,Long-term,61-70
1011,Västra Götaland,Male,Middle School,Long-term,61-70
1011,Västra Götaland,Male,Middle School,Long-term,61-70
1011,Västra Götaland,Male,Middle School,Long-term,61-70
1011,Västra Götaland,Male,Middle School,Long-term,61-70
1012,Södermanland,Female,Middle School,Short-term,<=20
1012,Södermanland,Female,Middle School,Short-term,<=20
1012,Södermanland,Female,Middle School,Short-term,<=20
1012,Södermanland,Female,Middle School,Short-term,<=20
1012,Södermanland,Female,Middle School,Short-term,<=20
1013,Södermanland,Female,Bachelor's Degree,Long-term,41-50
1013,Södermanland,Female,Bachelor's Degree,Long-term,41-50
1013,Södermanland,Female,Bachelor's Degree,Long-term,41-50
1013,Södermanland,Female,Bachelor's Degree,Long-term,41-50
1013,Södermanland,Female,Bachelor's Degree,Long-term,41-50
1014,Kronoberg,Female,Elementary School,Long-term,21-30
1014,Kronoberg,Female,Elementary School,Long-term,21-30
1014,Kronoberg,Female,Elementary School,Long-term,21-30
1015,Värmland,Female,Bachelor's Degree,Long-term,51-60
1015,Värmland,Female,Bachelor's Degree,Long-term,51-60
1015,Värmland,Female,Bachelor's Degree,Long-term,51-60
1015,Värmland,Female,Bachelor's Degree,Long-term,51-60
1016,Värmland,Male,Bachelor's Degree,Long-term,41-50
1016,Värmland,Male,Bachelor's Degree,Long-term,41-50
1016,Värmland,Male,Bachelor's Degree,Long-term,41-50
1016,Värmland,Male,Bachelor's Degree,Long-term,41-50
1016,Värmland,Male,Bachelor's Degree,Long-term,41-50
1016,Värmland,Male,Bachelor's Degree,Long-term,41-50
1016,Värmland,Male,Bachelor's Degree,Long-term,41-50
1017,Stockholm,Female,High School,Long-term,61-70
1017,Stockholm,Female,High School,Long-term,61-70
1017,Stockholm,Female,High School,Long-term,61-70
1017,Stockholm,Female,High School,Long-term,61-70
1017,Stockholm,Female,High School,Long-term,61-70
1017,Stockholm,Female,High School,Long-term,61-70
1017,Stockholm,Female,High School,Long-term,61-70
1017,Stockholm,Female,High School,Long-term,61-70
1018,Stockholm,Male,High School,Long-term,21-30
1018,Stockholm,Male,High School,Long-term,21-30
1018,Stockholm,Male,High School,Long-term,21-30
1018,Stockholm,Male,High School,Long-term,21-30
1019,Värmland,Male,Middle School,Short-term,21-30
1019,Värmland,Male,Middle School,Short-term,21-30
1019,Värmland,Male,Middle School,Short-term,21-30
1019,Värmland,Male,Middle School,Short-term,21-30
1020,Västerbotten,Male,High School,Long-term,61-70
1020,Västerbotten,Male,High School,Long-term,61-70
1020,Västerbotten,Male,High School,Long-term,61-70
1020,Västerbotten,Male,High School,Long-term,61-70
1020,Västerbotten,Male,High School,Long-term,61-70
1021,Södermanland,Male,Master's Degree,Long-term,21-30
1021,Södermanland,Male,Master's Degree,Long-term,21-30
