user_id,basket_name
1001,Global utilities
1001,Food producents Finland
1001,Global healthcare
1001,Swedish paper positive EBITDA
1001,Real estate Europe
1001,Danish beer
1002,Techs going upward
1002,Nordic technology vikings
1002,Healthcare Northern Europe
1002,Swedish tech
1002,Global electric utilities
1003,Real estate Europe
1003,Global electric utilities
1003,Global utilities
1004,Blockchain and crypto
1004,Nordic technology vikings
1004,Techs going upward
1004,Software for gaming
1005,Blockchain and crypto
1005,Pers Superblend my best choice
1005,Super software
1005,Techs going upward
1006,Consumers in Europe
1006,European fishing
1006,Nordic Fashion
1006,Showbizz companies
1007,Growth Rockets
1007,Swedish tech
1007,"Software, Global , small mcap"
1007,Technology stars of value
1008,Restaurants  Bars
1008,Australia tech index
1008,Financial stars
1008,Energy well performance
1008,Showbizz companies
1008,BIG INDEX Global
1008,Luxury cars
1008,Swedish tech
1009,Swedish weaked valued
1009,Blockchain and crypto
1009,Growth Rockets
1010,IT Services EUu
1010,Computer Hardware
1010,Blockchain and crypto
1010,Swedish tech
1011,Cross over well performing
1011,Food world 7
1011,Global healthcare
1011,Global utilities
1011,Well performed companies
1011,Real estate Europe
1011,Well traded stocks
1012,Australian Health
1012,WTF…
1012,Casino fun
1012,Nordic Fashion
1012,Software Australian small comp
1013,Global healthcare I
1013,Real estate Europe
1013,Food world 7
1013,Global utilities
1013,Nordic healthcare Facilities
1014,Nordic Advanced Medical Equip
1014,Real estate Europe
1014,Food producents Sweden
1015,Global utilities
1015,Real estate Europe
1015,Blended companies profitable
1015,Healthcare Facilities
1016,Nordic Fashion
1016,Global utilities
1016,Swedish tech
1016,Swedish Top Mix
1016,Food world 7
1016,Nordic Construction Companies
1016,Renewable energy world ALL
1017,Nordic Beers
1017,Food world 7
1017,Sustainable electric equipment
1017,Global utilities
1017,Nordic Advanced Medical Equip
1017,Real estate Europe
1017,Healthcare Facilities
1017,Global healthcare I
1018,Techs going upward
1018,Global healthcare
1018,Software for gaming
1018,BIG INDEX Global
1019,Techs seeking value upgrade
1019,"Software Americas, small mcap"
1019,Energy well performance
1019,Blockchain and crypto
1020,Global utilities
1020,Well traded stocks
1020,Nordic medical equipment
1020,Real estate Europe
1020,Nordic Construction Companies
1021,Global healthcare
1021,Swedish tech
1021,Global index great valuers
1022,Nordic technology vikings
1022,Growth Rockets
1022,Techs going upward
1022,Swedish tech
1022,Swedish mobile tech smallcap
1023,Nordic Fashion
1023,Spanish companies
1023,Software in Germany
1023,Showbizz companies
1023,Nordic High quality sprits
1023,Restaurants  Bars
1023,Biotech UK
1024,Real estate Europe
1024,Nordic Construction Companies
1024,Nordic Green Energy
1025,Energy well performance
1025,Global healthcare
1025,Renewable energy world
1025,"Software Americas, small mcap"
1026,WTF…
1026,Showbizz companies
1026,Hotels Scandinavia
1026,Consumers in Europe
1026,Nordic Fashion
1027,Healthcare Facilities
1027,Restaurants  Bars
1027,Luxury cars
1027,European furnishing
1027,Rubber and Tires
1028,Swedish tech
1028,Tech online services World
1028,Software in Sweden
1029,Blockchain and crypto
1029,Renewable energy world
1029,BIG INDEX Global
1029,Super software III
1030,Technology stars of value
1030,Nordic technology vikings
1030,Software in Sweden
1030,Growth Rockets
1031,Global healthcare
1031,Real estate Europe
1031,Nordic Construction Companies
1031,Global utilities
1032,German fintech
1032,Nordic Fashion
1032,Healthcare Facilities
1032,Swedish tech
1032,Financial Spain
1032,Restaurants  Bars
1032,Swedish fintech
1032,Sea food Norway
1033,Sea food Norway
1033,Biotech UK
1033,European fishing
1033,Australian Health 3
1033,Sea food UK
1033,Nordic healthcare Facilities
1033,Nordic Beers
1033,Pharmaceuticals EU
1034,Growth Rockets
1034,Techs going upward
1034,WTF II
1034,"Software Americas, small comp"
1035,Growth Rockets
1035,Biotech  EBITDA>0
1035,"Software Americas, small mcap"
1035,Techs seeking value upgrade
1036,Global healthcare I
1036,Financial World  nu funds
1036,Real estate Europe
1036,Technology stars of value
1037,Real estate Europe
1037,Well traded stocks
1037,Global utilities
1038,Solar energy
1038,Nordic Fashion
1038,Growth Rockets
1039,Software in Sweden
1039,Swedish mobile tech smallcap
1040,Well traded stocks
1040,Swedish Top Mix
1040,Global healthcare
1040,Global utilities
1041,Global utilities
1041,Real estate Europe
1041,Well traded stocks
1041,Healthcare Northern Europe
1042,Techs going upward
1042,Software in Sweden
1042,Restaurants  Bars
1042,Swedish tech
1042,Nordic Fashion
1043,Super software III
1043,Technology stars of value
1043,Swedish fintech
1043,Growth Rockets
1044,Real estate Europe
1044,Healthcare southern Europé
1044,Food world 7
1044,Global utilities
1045,Swedish tech
1045,Techs going upward
1045,Growth Rockets
1046,Software for gaming
1046,Air related companies world
1046,Blockchain and crypto
1047,Swedish tech
1047,Well traded stocks
1047,Energy well performance
1047,Techs going upward
1048,Swedish tech
1048,Swedish paper positive EBITDA
1048,Tech online services World
1048,Solar energy
1049,BIG INDEX Global
1049,Growth Rockets
1049,Swedish fintech
1049,Super software
1049,Techs going upward
1050,Nordic technology vikings
1050,Techs going upward
1050,Swedish mobile tech smallcap
1051,Real estate Europe
1051,Pharmaceuticals EU
1051,Food Sweden 2
1052,Food world 7
1052,Well traded stocks
1052,Healthcare Facilities
1052,Global utilities
1053,Healthcare Northern Europe
1053,Food world 7
1053,Global utilities
1054,Financial World  nu funds
1054,Nordic Construction Companies
1055,Techs going upward
1055,Healthcare Northern Europe
1055,Well traded stocks
1055,Renewable energy world ALL
1057,Global electric utilities
1057,Basic materials World
1057,Tech online services World
1058,Swedish fintech
1058,Swedish climbers
1058,Software in Sweden
1058,Swedish tech
1059,Food producents Sweden
1059,Restaurants  Bars
1059,Real estate Europe
1059,Healthcare Facilities
