investment_id;user_id;basket_name;investment_amount
0;1001;Global healthcare;11949.0
1;1001;World Software companies;9957.5
2;1001;Global utilities;7966.0
3;1001;Renewable energy world ALL;5974.5
4;1001;Basic materials World;4000.0
5;1002;Global utilities;9729.0
6;1002;Basic materials World;6486.0
7;1002;Australia tech index;4864.5
8;1002;Renewable energy world ALL;4864.5
9;1002;BIG INDEX Global;6486.0
10;1003;Global utilities;26385.0
11;1003;Basic materials World;17590.0
12;1003;Global healthcare;13192.5
13;1003;Real estate Europe;13192.5
14;1003;Financial World  nu funds;17590.0
15;1004;Growth Rockets;8895.0
16;1004;Swedish fintech;5930.0
17;1004;Pers 14;4447.5
18;1004;Energy well performance;4447.5
19;1004;Nordic technology vikings;5930.0
20;1005;Swedish fintech;2521.5
21;1005;Software in Sweden;2521.5
22;1005;Swedish mibile tech adjusted;2521.5
23;1005;Pers 14;2521.5
24;1005;Software for gaming;2101.25
25;1005;IT Services EUu;2101.25
26;1005;Blockchain and crypto;2521.5
27;1006;Food Sweden;7592.0
28;1006;Food Sweden 2;7592.0
29;1006;Well traded stocks;7592.0
30;1006;Swedish Top Mix;7592.0
31;1007;Energy well performance;25113.0
32;1007;Blockchain and crypto;16742.0
33;1007;Most traded stocks;16742.0
34;1007;Finnish tech;8371.0
35;1007;Swedish fintech;8371.0
36;1008;Swedish mibile tech adjusted;19914.0
37;1008;Energy well performance;13276.0
38;1008;Renewable energy world ALL;13276.0
39;1008;Swedish fintech;9957.0
40;1009;Most traded stocks;7412.5
41;1009;Tech online services World;5930.0
42;1009;Energy well performance;5188.75
43;1009;Blockchain and crypto;5000.0
44;1010;Energy well performance;11485.0
45;1010;MooseBit explosion;9188.0
46;1010;WTF II;6891.0
47;1010;Well traded with profit margin;9188.0
48;1010;Renewable energy world ALL;9188.0
49;1011;Global utilities;46879.0
50;1011;Basic materials World;26788.0
51;1011;Food world 6;26788.0
52;1011;Food world 7;26785.0
53;1011;Danish beer;6697.0
54;1012;Pers 14;6844.0
55;1012;Swedish mibile tech adjusted;3422.0
56;1012;Pers Superblend my best choice;6844.0
57;1013;Global utilities;14915.0
58;1013;Consumer Global INDEX;11932.0
59;1013;Financial World  nu funds;8949.0
60;1013;Real estate Europe;8949.0
61;1013;Austria blended companies;5966.0
62;1013;Basic materials World;4971.6
63;1013;Tech online services World;3977.3
64;1014;Global utilities;6088.0
65;1014;Food Sweden;7610.0
66;1014;Basic materials World;6088.0
67;1014;Real estate Europe;10654.0
68;1015;Global utilities;17305.0
69;1015;Basic materials World;10383.0
70;1015;Food world 6;10383.0
71;1015;Real estate Europe;13844.0
72;1015;Austria blended companies;17305.0
73;1016;Australia tech index;17836.0
74;1016;Global utilities;13377.0
75;1016;Swedish climbers;13377.0
76;1016;BIG INDEX Global;8918.0
77;1016;Financial World  nu funds;8918.0
78;1016;Global healthcare;8918.0
79;1016;Basic materials World;8918.0
80;1016;Renewable energy world ALL;8918.0
81;1017;Global utilities;23367.0
82;1017;Basic materials World;15578.0
83;1017;Food world 6;15578.0
84;1017;Real estate Europe;15578.0
85;1017;Danish beer;7789.0
86;1018;Global utilities;3248.0
87;1018;Basic materials World;2436.0
88;1018;Renewable energy world;4060.0
89;1018;Swedish Top Mix;1624.0
90;1018;Australia tech index;4872.0
91;1019;Pers Superblend my best choice;7256.0
92;1019;Swedish mibile tech adjusted;3628.0
93;1019;MooseBit explosion;3628.0
94;1019;WTF II;3628.0
95;1020;Global utilities;36645.0
96;1020;Basic materials World;24430.0
97;1020;Food world 5;24430.0
98;1020;Real estate Europe;36645.0
99;1021;Technology stars of value;5442.0
100;1021;Super software;3628.0
101;1021;Growth Rockets;3628.0
102;1021;BIG INDEX Global;2721.0
103;1021;Renewable energy world ALL;2721.0
104;1022;Pers Superblend my best choice;4880.0
105;1022;Most traded stocks;3904.0
106;1022;Swedish climbers;2928.0
107;1022;Finnish tech;1952.0
108;1022;Growth Rockets;1000.0
109;1022;Pers 14;1000.0
110;1023;Well traded with profit margin;17898.0
111;1023;MooseBit explosion;11932.0
112;1023;German companies all sector;5966.0
113;1023;French companies;5966.0
114;1023;Consumers in Europe;5966.0
115;1023;Pers Choice Europé;5966.0
116;1023;Renewable energy world ALL;5966.0
117;1024;Global utilities;23233.0
118;1024;Basic materials World;13276.0
119;1024;Renewable energy world;16595.0
120;1024;Austria blended companies;13276.0
121;1025;Energy well performance;26345.0
122;1025;Well traded with profit margin;21076.0
123;1025;Swedish climbers;15807.0
124;1025;Most traded stocks;10538.0
125;1025;BIG INDEX Global;8430.4
126;1026;Renewable energy world ALL;15249.0
127;1026;Consumers in Europe;10166.0
128;1026;Pers Superblend my best choice;10166.0
129;1026;MooseBit underdog II;15249.0
130;1027;Swedish fintech;4936.5
131;1027;Swedish climbers;6582.0
132;1027;Renewable energy world;3291.0
133;1027;Nordic Fashion;1645.5
134;1027;German fintech;3291.0
135;1027;Blockchain and crypto;9873.0
136;1027;Energy well performance;9214.8
137;1028;Growth Rockets;7412.5
138;1028;Swedish fintech;5930.0
139;1028;Pers Superblend my best choice;7412.5
140;1028;Energy well performance;8895.0
141;1029;Technology stars of value;4500.0
142;1029;Global healthcare;4000.0
143;1029;Renewable energy world ALL;3740.0
144;1029;Australian Health 2;4000.0
145;1030;Pers Superblend my best choice;7281.0
146;1030;Most traded stocks;4854.0
147;1030;Growth Rockets;4854.0
148;1030;BIG INDEX Global;4854.0
149;1030;Finnish tech;2427.0
150;1031;Global utilities;8313.0
151;1031;Basic materials World;5542.0
152;1031;Australian Health;13855.0
153;1031;Global healthcare;22168.0
154;1031;Renewable energy world;5542.0
155;1032;Food Sweden;8684.0
156;1032;Consumers in Europe;4342.0
157;1032;Swedish Top Mix;6513.0
158;1032;Pers Choice Europé;8684.0
159;1032;Nordic Fashion;4342.0
160;1032;Biotech  MCAP >30 m and < 80 m;10855.0
161;1033;Global utilities;4773.0
162;1033;Food producents Sweden;3182.0
163;1033;Renewable energy world;4773.0
164;1033;Swedish  Biotech;3182.0
165;1034;Swedish fintech;3904.0
166;1034;Swedish mibile tech adjusted;5856.0
167;1034;Most traded stocks;4880.0
168;1034;Swedish weaked valued;4880.0
169;1035;Renewable energy world ALL;8016.0
170;1035;Finnish tech;5344.0
171;1035;Swedish mibile tech adjusted;5344.0
172;1035;BIG INDEX Global;4008.0
173;1035;Growth Rockets;4008.0
174;1036;Global utilities;14410.0
175;1036;Renewable energy world ALL;10807.5
176;1036;Tech online services World;10807.5
177;1036;Financial World  nu funds;10807.5
178;1036;Basic materials World;10807.5
179;1036;Global healthcare;14410.0
180;1037;Global utilities;40110.0
181;1037;Basic materials World;26740.0
182;1037;Food world 6;26740.0
183;1037;Danish beer;20055.0
184;1037;Financial World  nu funds;20055.0
185;1038;Growth Rockets;4546.5
186;1038;Techs going upward;3897.0
187;1038;Renewable energy world ALL;2598.0
188;1038;Swedish fintech;1948.5
189;1039;Technology stars of value;7000.0
190;1039;Global healthcare;5000.0
191;1039;Renewable energy world ALL;4000.0
192;1039;Australia tech index;3520.0
193;1040;Global utilities;20000.0
194;1040;Basic materials World;15000.0
195;1040;Financial World  nu funds;25000.0
196;1040;Renewable energy world ALL;20110.0
197;1040;Austria blended companies;20000.0
198;1041;Global utilities;17973.0
199;1041;Basic materials World;11982.0
200;1041;Financial World  nu funds;11982.0
201;1041;Global healthcare;8000.0
202;1041;Renewable energy world ALL;10000.0
203;1042;Energy well performance;23233.0
204;1042;Most traded stocks;13276.0
205;1042;Swedish climbers;9957.0
206;1042;Renewable energy world;6638.0
207;1042;Swedish weaked valued;6638.0
208;1042;Swedish fintech;6638.0
209;1043;Technology stars of value;6000.0
210;1043;Growth Rockets;5000.0
211;1043;BIG INDEX Global;4520.0
212;1043;Swedish fintech;4000.0
213;1044;Global utilities;23502.0
214;1044;Food world 5;15668.0
215;1044;Basic materials World;15000.0
216;1044;Austria blended companies;10000.0
217;1044;Well traded stocks;9500.0
218;1044;Danish beer;4670.0
219;1045;WTF II;27144.0
220;1045;MooseBit explosion;18096.0
221;1045;Energy well performance;13572.0
222;1045;Renewable energy world ALL;9048.0
223;1045;Most traded stocks;9048.0
224;1045;BIG INDEX Global;4524.0
225;1045;Global healthcare;4524.0
226;1045;Pers Superblend my best choice;4524.0
227;1046;Pers Superblend my best choice;8016.0
228;1046;MooseBit explosion;5344.0
229;1046;WTF II;2672.0
230;1046;Energy well performance;5344.0
231;1046;Swedish climbers;5344.0
232;1047;Global utilities;12252.0
233;1047;Basic materials World;8168.0
234;1047;Renewable energy world ALL;8168.0
235;1047;Well traded stocks;12252.0
236;1048;Global utilities;9102.5
237;1048;Basic materials World;7282.0
238;1048;Renewable energy world;7282.0
239;1048;Austria blended companies;6371.75
240;1048;Food world 5;6371.75
241;1049;Technology stars of value;16212.0
242;1049;Growth Rockets;10808.0
243;1049;Renewable energy world ALL;8106.0
244;1049;BIG INDEX Global;10808.0
245;1049;Swedish climbers;8106.0
246;1050;Global utilities;3248.0
247;1050;Basic materials World;3248.0
248;1050;Renewable energy world;3248.0
249;1050;Food producents Norway;3248.0
250;1050;Pers Choice Finland;3248.0
251;1051;Global utilities;18645.0
252;1051;Basic materials World;12430.0
253;1051;Food producents Denmark;6215.0
254;1051;Food Sweden;6215.0
255;1051;Food producents Finland;6215.0
256;1051;Food producents Norway;6215.0
257;1051;Food producents Sweden;6215.0
258;1052;Global utilities;15249.0
259;1052;Food world 5;10166.0
260;1052;Basic materials World;7624.5
261;1052;Real estate Europe;7624.5
262;1052;Consumer Global INDEX;10166.0
263;1053;Global utilities;22330.0
264;1053;Basic materials World;17864.0
265;1053;Global healthcare;17864.0
266;1053;Austria blended companies;13398.0
267;1053;Financial World  nu funds;8932.0
268;1053;Austria business;8932.0
269;1054;Australia tech index;17866.0
270;1054;Financial World  nu funds;13399.5
271;1054;BIG INDEX Global;13399.5
272;1054;Global utilities;8933.0
273;1054;Basic materials World;8933.0
274;1054;Renewable energy world ALL;8933.0
275;1054;Swedish Top Mix;8933.0
276;1054;Austria blended companies;8933.0
277;1055;Global utilities;4180.0
278;1055;Food world 5;4180.0
279;1055;Global healthcare I;4180.0
280;1055;Swedish paper positive EBITDA;4180.0
281;1056;Basic materials World;9968.0
282;1056;Global utilities;9968.0
283;1056;Austria blended companies;7476.0
284;1056;Well traded stocks;7476.0
285;1056;Consumer Global INDEX;4984.0
286;1056;Austria business;4984.0
287;1056;Blended companies profitable;4984.0
288;1057;Global utilities;22620.0
289;1057;Basic materials World;13572.0
290;1057;Renewable energy world;18096.0
291;1057;Austria blended companies;9048.0
292;1057;Swedish paper positive EBITDA;9048.0
293;1057;Well traded stocks;18096.0
294;1058;Growth Rockets;12252.0
295;1058;Most traded stocks;8168.0
296;1058;Swedish climbers;6126.0
297;1058;Finnish tech;4084.0
298;1058;Technology stars of value;4084.0
299;1058;Energy well performance;6126.0
300;1059;Most traded stocks;22168.0
301;1059;WTF…;11084.0
