investment_id;user_id;basket_name;investment_amount
0;1001;Global healthcare;12000.0
1;1001;Global utilities;10000.0
2;1001;Real estate Europe;8000.0
3;1001;Pharmaceuticals EU;5000.0
4;1001;Danish beer;2000.0
5;1001;Food producents Finland;1000.0
6;1001;Nordic High quality sprits;500.0
7;1001;Swedish paper positive EBITDA;330.0
8;1002;Techs going upward;8107.5
9;1002;Nordic technology vikings;6486.0
10;1002;Swedish tech;4864.5
11;1002;Renewable energy world ALL;4864.5
12;1002;Global electric utilities;3243.0
13;1002;Healthcare Northern Europe;3243.0
14;1002;Financial World  nu funds;1621.5
15;1003;Global utilities;35000.0
16;1003;Real estate Europe;25000.0
17;1003;Global healthcare I;18000.0
18;1003;Global electric utilities;9950.0
19;1004;Software for gaming;5000.0
20;1004;Blockchain and crypto;7500.0
21;1004;Techs going upward;6000.0
22;1004;Renewable energy world;4000.0
23;1004;Nordic technology vikings;7150.0
24;1005;Techs going upward;5043.0
25;1005;Blockchain and crypto;3362.0
26;1005;Super software;3362.0
27;1005;Software for gaming;1681.0
28;1005;Pers Superblend my best choice;1681.0
29;1006;Consumers in Europe;10000.0
30;1006;European fishing;8000.0
31;1006;Showbizz companies;7000.0
32;1006;Restaurants  Bars;6000.0
33;1006;Hotels Scandinavia;5000.0
34;1006;Nordic Fashion;1960.0
35;1007;Technology stars of value;25113.0
36;1007;Growth Rockets;20927.5
37;1007;Software, Global , small mcap;16742.0
38;1007;Software for gaming;12556.5
39;1007;Swedish tech;8371.0
40;1008;Energy well performance;15000.0
41;1008;Australia tech index;10000.0
42;1008;BIG INDEX Global;8000.0
43;1008;Growth Rockets;7000.0
44;1008;Swedish tech;6000.0
45;1008;Financial stars;5000.0
46;1008;US airlines;5000.0
47;1008;Showbizz companies;4000.0
48;1008;Restaurants  Bars;3000.0
49;1008;Luxury cars;1380.0
50;1009;Growth Rockets;8895.0
51;1009;Swedish weaked valued;8895.0
52;1009;Software for gaming;5930.0
53;1009;Blockchain and crypto;5930.0
54;1010;Swedish tech;15000.0
55;1010;IT Services EUu;10000.0
56;1010;Blockchain and crypto;8000.0
57;1010;Software for gaming;7000.0
58;1010;Computer Hardware;5940.0
59;1011;Global utilities;40182.0
60;1011;Food world 7;33485.0
61;1011;Real estate Europe;26788.0
62;1011;Financial World  nu funds;13394.0
63;1011;Well traded stocks;10715.2
64;1011;Global healthcare;8036.4
65;1011;Basic materials World;6697.0
66;1011;Cross over well performing;2678.8
67;1011;Well performed companies;1339.4
68;1012;Australian Health;2500.0
69;1012;WTF…;3000.0
70;1012;Nordic Fashion;2000.0
71;1012;Showbizz companies;1500.0
72;1012;Software Australian small comp;4000.0
73;1012;Casino fun;1000.0
74;1012;Spanish Wine;1000.0
75;1013;Global healthcare I;15000.0
76;1013;Real estate Europe;10000.0
77;1013;Global utilities;8000.0
78;1013;Well traded stocks;7000.0
79;1013;Nordic healthcare Facilities;6000.0
80;1013;Food world 7;5000.0
81;1013;Spanish companies;3660.0
82;1014;Food producents Sweden;10000.0
83;1014;Nordic Advanced Medical Equip;8000.0
84;1014;Global utilities;7000.0
85;1014;Real estate Europe;5440.0
86;1015;Global utilities;15000.0
87;1015;Real estate Europe;10000.0
88;1015;Healthcare Facilities;8000.0
89;1015;Food producents Sweden;7000.0
90;1015;Well traded stocks;10000.0
91;1015;Blended companies profitable;9220.0
92;1016;Swedish Top Mix;20000.0
93;1016;Global utilities;15000.0
94;1016;Nordic Construction Companies;12000.0
95;1016;Global healthcare I;10000.0
96;1016;Renewable energy world ALL;8000.0
97;1016;Swedish tech;7000.0
98;1016;Real estate Europe;5000.0
99;1016;Nordic Fashion;4000.0
100;1016;Food world 7;3180.0
101;1017;Global utilities;20000.0
102;1017;Food world 7;15000.0
103;1017;Real estate Europe;12000.0
104;1017;Financial World  nu funds;10000.0
105;1017;Global healthcare I;8000.0
106;1017;Sustainable electric equipment;5000.0
107;1017;Food producents Sweden;3000.0
108;1017;Nordic Advanced Medical Equip;2000.0
109;1017;Nordic Beers;1000.0
110;1017;Healthcare Facilities;1890.0
111;1018;BIG INDEX Global;4500.0
112;1018;Techs going upward;3500.0
113;1018;Software for gaming;2000.0
114;1018;Renewable energy world ALL;2500.0
115;1018;Global healthcare;3000.0
116;1019;Techs seeking value upgrade;4500.0
117;1019;Software Americas, small mcap;4000.0
118;1019;Blockchain and crypto;3500.0
119;1019;Swedish fintech;3000.0
120;1019;WTF II;2000.0
121;1019;Energy well performance;1140.0
122;1020;Global utilities;30000.0
123;1020;Well traded stocks;25000.0
124;1020;Real estate Europe;20000.0
125;1020;Food world 7;15000.0
126;1020;Nordic Construction Companies;8000.0
127;1020;Nordic medical equipment;7000.0
128;1020;Sustainable electric equipment;5000.0
129;1021;Global index great valuers;7500.0
130;1021;Global healthcare;5000.0
131;1021;Techs going upward;4000.0
132;1021;Swedish tech;1640.0
133;1022;Nordic technology vikings;5000.0
134;1022;Growth Rockets;4000.0
135;1022;Swedish tech;3000.0
136;1022;Software Americas, small mcap;2500.0
137;1022;Swedish mobile tech smallcap;2000.0
138;1022;Techs going upward;1500.0
139;1022;Blockchain and crypto;1020.0
140;1023;Showbizz companies;8000.0
141;1023;Spanish companies;7000.0
142;1023;Restaurants  Bars;6000.0
143;1023;Healthcare Facilities;5500.0
144;1023;Biotech UK;5000.0
145;1023;Software in Germany;5000.0
146;1023;German fintech;5000.0
147;1023;Nordic Fashion;8160.0
148;1023;Nordic High quality sprits;5000.0
149;1024;Nordic Green Energy;15000.0
150;1024;Real estate Europe;10000.0
151;1024;Global utilities;11380.0
152;1024;Nordic Construction Companies;10000.0
153;1025;Energy well performance;30000.0
154;1025;Global healthcare;25000.0
155;1025;Software Americas, small mcap;20000.0
156;1025;Biotech UK;15000.0
157;1025;Financial World  nu funds;10380.0
158;1025;Renewable energy world;5000.0
159;1026;WTF…;5000.0
160;1026;Showbizz companies;7000.0
161;1026;Consumers in Europe;8000.0
162;1026;Air related companies world;7000.0
163;1026;Nordic Fashion;4000.0
164;1026;Hotels Scandinavia;3830.0
165;1026;Fashion mix;5000.0
166;1027;Healthcare Facilities;8227.5
167;1027;Restaurants  Bars;6582.0
168;1027;European furnishing;4936.5
169;1027;Fashion mix;4936.5
170;1027;Rubber and Tires;3291.0
171;1027;Luxury cars;3291.0
172;1027;Showbizz companies;1645.5
173;1028;Software in Sweden;5000.0
174;1028;Swedish tech;7000.0
175;1028;Nordic technology vikings;8000.0
176;1028;Tech online services World;9650.0
177;1029;Super software III;5000.0
178;1029;Blockchain and crypto;4000.0
